,OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים,geo
411,36678057,376,דוד ילין,51.0, , ,3,3,1,2200,608,יוסף שוורץ,,734.5422973632812,173.59590586366494,"(220223.7248, 632702.388)"
412,36678058,606,מיוחס,12.0, , ,2,2,14,2200,0, ,,628.6115417480469,156.67620859785706,"(220223.7248, 632702.388)"
413,36678059,609,משה דוד גאון,7.0, , ,2,5,5,2200,0, ,,761.4295349121094,165.67846940482627,"(220223.7248, 632702.388)"
414,36678060,609,משה דוד גאון,4.0, , ,2,4,4,2200,0, ,,272.40087890625,99.77007529306084,"(220223.7248, 632702.388)"
415,36678061,606,מיוחס,15.0, , ,2,12,11,2200,0, ,,1099.61474609375,254.4815638126841,"(220223.7248, 632702.388)"
416,36678062,610,נבון,12.0, , ,3,26,15,2200,0, ,,2145.634536743164,435.2082234437417,"(220223.7248, 632702.388)"
417,36678063,610,נבון,34.0, , ,2,1,1,2200,604,שד''ל,,363.0874786376953,90.95034214943932,"(220223.7248, 632702.388)"
418,36678064,610,נבון,36.0, , ,2,1,3,2200,0, ,,129.10687255859375,55.05689474280823,"(220223.7248, 632702.388)"
419,36678065,610,נבון,5.0, , ,2,2,2,2200,738,נתיב יצחק,,307.90684509277344,88.7671913282362,"(220223.7248, 632702.388)"
420,36678066,0, ,17.0, , ,3,2,1,2200,0, ,,212.66688537597656,62.8930940243996,"(220723.715, 625258.558)"
421,36678067,0, ,27.0, , ,3,17,17,2200,610,נבון,,1286.2600708007812,272.2776735709415,"(220723.715, 625258.558)"
422,36678068,328,רש''י,65.0, , ,2,1,3,2200,0, ,,141.89923095703125,54.77953190162369,"(220723.715, 625258.558)"
423,36678069,1396,מוריס פישר,17.0, , ,4,5,40,2200,0, ,,1189.2635803222656,246.0048333122496,"(219098.2647, 628601.5847)"
424,36678070,1392,אברהם ארסט,0.0, , ,4,1,0,2200,1347,ברל לוקר,,481.1785278320313,109.14990484161464,"(219098.2647, 628601.5847)"
425,36678071,1315,רשב''ג,52.0, , ,2,1,1,2200,0, ,,190.4698944091797,80.28134262388633,"(219647.3437, 628900.976600001)"
426,36678072,1315,רשב''ג,50.0, , ,2,1,4,2200,0, ,,190.4295196533203,77.1668895079699,"(219660.9219, 628912.6406)"
427,36678073,1314,יוסי בן יועזר,55.0, , ,2,1,0,2200,0, ,,177.96363830566406,67.80427844803495,"(219622.375, 628900.6406)"
428,36678074,1315,רשב''ג,49.0, , ,2,2,8,2200,0, ,,451.3401489257813,130.59599204373197,"(219692.8125, 628884.49)"
429,36678075,1314,יוסי בן יועזר,51.0, , ,2,1,4,2200,0, ,,313.4635772705078,95.4414346957,"(219640.8125, 628940.8672)"
430,36678076,1314,יוסי בן יועזר,53.0, , ,2,1,4,2200,0, ,,196.99327087402344,75.73694978281176,"(219629.375, 628918.539100001)"
431,36678077,1839,האומן,24.0, , ,5,1,0,2200,0, ,,1044.6838073730469,155.38177158513864,"(219641.6958, 628611.022)"
432,36678078,1839,האומן,26.0, , ,4,1,0,2200,0, ,,1403.9889068603516,174.56367468988276,"(219641.6958, 628611.022)"
433,36678079,1796,אביטל,13.0, , ,1,1,0,2200,0, ,,212.9461669921875,62.0669623835569,"(220101.1, 628717.279999999)"
434,36678080,1860,הפרסה,0.0, , ,1,1,0,2200,0, ,,402.1387634277344,119.01054178925044,"(220101.1, 628717.279999999)"
435,36678081,1794,מקור חיים,62.0, , ,1,1,0,2200,0, ,,298.1997375488281,101.66682707635768,"(219970.48, 628727.943399999)"
436,36678082,0, ,10.0, , ,1,1,1,2200,0, ,,311.73712158203125,77.4468505147567,"(219970.48, 628727.943399999)"
437,36678083,0, ,57.0, , ,1,1,10,2200,0, ,,295.98475646972656,75.65240560214804,"(219970.48, 628727.943399999)"
438,36678084,1315,רשב''ג,54.0, , ,1,1,0,2200,0, ,,33.72367858886719,23.85145273964121,"(219622.375, 628900.6406)"
439,36678085,4381,אל בוטמה,0.0, , ,2,1,2,2200,0, ,,155.23483276367188,57.0209998464168,"(219622.375, 628900.6406)"
440,36678086,4366,א רחמה,0.0, , ,3,12,22,2200,0, ,,1491.590316772461,429.26358803647065,"(219622.375, 628900.6406)"
441,36678087,4295,שייח' מחמוד,0.0, , ,2,1,2,2200,0, ,,142.9043731689453,56.08262988973464,"(219622.375, 628900.6406)"
442,36678088,4295,שייח' מחמוד,0.0, , ,2,3,7,2200,0, ,,355.3179168701172,105.42670259005712,"(219622.375, 628900.6406)"
443,36678089,4381,אל בוטמה,0.0, , ,2,2,3,2200,0, ,,233.3702392578125,89.20558134460042,"(219622.375, 628900.6406)"
444,36678090,4381,אל בוטמה,0.0, , ,2,1,2,2200,0, ,,219.83990478515625,78.60752058418264,"(219622.375, 628900.6406)"
445,36678091,4381,אל בוטמה,0.0, , ,3,1,3,2200,0, ,,286.82765197753906,91.2849936056246,"(219622.375, 628900.6406)"
446,36678092,4381,אל בוטמה,0.0, , ,2,1,3,2200,0, ,,145.7720489501953,54.00314623516727,"(219622.375, 628900.6406)"
447,36678093,4384,א שיפא,0.0, , ,2,1,1,2200,0, ,,132.30776977539062,53.596080472182855,"(219622.375, 628900.6406)"
448,36678094,4384,א שיפא,0.0, , ,1,1,1,2200,0, ,,229.8314514160156,62.81738494975817,"(219622.375, 628900.6406)"
449,36678095,4384,א שיפא,0.0, , ,1,1,2,2200,0, ,,154.32615661621094,50.62105888037967,"(219622.375, 628900.6406)"
450,36678096,4398,אל קד'איל,0.0, , ,1,1,2,2200,0, ,,117.33766174316406,47.91424175697318,"(219622.375, 628900.6406)"
451,36678097,4380,א נתר,0.0, , ,3,1,1,2200,0, ,,367.4917449951172,78.82550464190774,"(219622.375, 628900.6406)"
452,36678098,4285,איחוד הכפר,40.0, , ,2,1,3,2200,0, ,,281.7044982910156,77.69247547928315,"(219622.375, 628900.6406)"
453,36678099,4285,איחוד הכפר,42.0, , ,2,1,2,2200,0, ,,191.76666259765625,55.970165466034985,"(219622.375, 628900.6406)"
454,36678100,4398,אל קד'איל,0.0, , ,2,1,1,2200,0, ,,112.25418090820312,42.98608358892636,"(219622.375, 628900.6406)"
455,36678101,1361,בר יוחאי,1.0, , ,5,1,16,2200,0, ,,334.91822814941406,110.94689797104412,"(218937.987, 628989.83)"
456,36678102,1310,אלעזר בן יאיר,9.0, , ,3,3,12,2200,0, ,,706.1846771240234,223.77206848150828,"(219107.306, 629125.1391)"
457,36678103,1310,אלעזר בן יאיר,16.0, , ,2,1,4,2200,0, ,,213.6339569091797,88.3703372602565,"(219103.1305, 629075.787900001)"
458,36678104,1309,קנאי הגליל,17.0, , ,3,2,2,2200,0, ,,331.9317321777344,125.2958415846342,"(219104.6871, 628998.949100001)"
459,36678105,1340,ניתאי הארבלי,34.0, , ,2,1,6,2200,0, ,,328.5819854736328,105.90945848184474,"(219104.6871, 628998.949100001)"
460,36678106,1340,ניתאי הארבלי,32.0, , ,2,1,4,2200,0, ,,419.9158935546875,136.254112115465,"(219104.6871, 628998.949100001)"
461,36678107,1309,קנאי הגליל,26.0, , ,3,2,5,2200,0, ,,197.00338745117188,74.55166794885028,"(219096.942, 628936.935000001)"
462,36678108,1340,ניתאי הארבלי,28.0, , ,2,1,3,2200,0, ,,277.3315734863281,104.83027606056308,"(219096.942, 628936.935000001)"
463,36678109,1340,ניתאי הארבלי,26.0, , ,2,1,3,2200,0, ,,175.01815795898438,74.49641264960974,"(219096.942, 628936.935000001)"
464,36678110,1340,ניתאי הארבלי,24.0, , ,2,1,5,2200,0, ,,248.49156188964844,101.9376632294737,"(219096.942, 628936.935000001)"
465,36678111,1340,ניתאי הארבלי,22.0, , ,3,1,4,2200,0, ,,143.59886169433594,65.90823435920053,"(219096.942, 628936.935000001)"
466,36678112,1340,ניתאי הארבלי,20.0, , ,2,1,3,2200,0, ,,239.7714691162109,77.05718387455403,"(219096.942, 628936.935000001)"
467,36678113,1340,ניתאי הארבלי,18.0, , ,2,1,4,2200,0, ,,293.4899444580078,87.83141539042477,"(219096.942, 628936.935000001)"
468,36678114,1340,ניתאי הארבלי,16.0, , ,2,1,4,2200,0, ,,207.2664031982422,81.26913644974212,"(219096.942, 628936.935000001)"
469,36678115,1309,קנאי הגליל,24.0, , ,2,1,4,2200,0, ,,234.72998046875,75.21477733369787,"(219071.799, 628980.738)"
470,36678116,1309,קנאי הגליל,22.0, , ,2,1,6,2200,0, ,,334.37840270996094,100.9017992053048,"(219060.912, 629004.25)"
471,36678117,1309,קנאי הגליל,20.0, , ,2,1,5,2200,0, ,,509.3726196289063,123.05507493567596,"(219050.725, 629029.062999999)"
472,36678118,1309,קנאי הגליל,30.0, , ,2,1,4,2200,0, ,,297.7314147949219,81.50047088812232,"(219125.7, 628895.631999999)"
473,36678119,1309,קנאי הגליל,25.0, , ,2,1,2,2200,0, ,,385.3531494140625,128.4273007351917,"(219178.4005, 628898.792300001)"
474,36678120,1309,קנאי הגליל,28.0, , ,2,2,5,2200,0, ,,223.3034210205078,84.28282839542418,"(219111.866, 628914.058)"
475,36678121,1902,דניאל סירקיס,12.0, , ,3,1,6,2200,0, ,,218.0904083251953,68.06310638235774,"(218770.5302, 632855.5935)"
476,36678122,1902,דניאל סירקיס,14.0, , ,3,1,7,2200,0, ,,220.6431121826172,72.93586057274551,"(218771.3586, 632874.6242)"
477,36678123,1092,דגל ראובן,11.0, , ,4,1,9,2200,0, ,,196.1925048828125,62.54390802806251,"(218800.5731, 632857.1701)"
478,36678124,916,הצבי,6.0, , ,2,1,0,2200,0, ,,221.3280487060547,78.31725822984717,"(219320.1875, 632992.373)"
479,36678125,916,הצבי,4.0, , ,2,1,0,2200,0, ,,175.28028869628906,58.37851478667165,"(219336.1563, 632994.174000001)"
480,36678126,916,הצבי,2.0, , ,3,1,3,2200,0, ,,389.8655395507813,100.2444884421703,"(219367.6719, 632997.77)"
481,36678127,921,תורה מציון,4.0, , ,3,2,18,2200,0, ,,438.0408630371094,121.98782681005729,"(219476.619, 632974.914999999)"
482,36678128,919,המאסף,9.0, , ,4,1,9,2200,0, ,,343.59686279296875,100.58637723377294,"(219225.308, 633030.873)"
483,36678129,917,אריאל,4.0, , ,3,1,8,2200,0, ,,254.8848876953125,68.49898121058091,"(219358.6445, 633050.4219)"
484,36678130,918,האור,4.0, , ,3,1,10,2200,920,המון,,276.1889190673828,75.74352464475417,"(219417.5, 633060.6719)"
485,36678131,918,האור,3.0, , ,3,1,24,2200,917,אריאל,,613.8857879638672,156.79606067032674,"(219379.7439, 633052.906300001)"
486,36678132,918,האור,6.0, , ,3,1,7,2200,0, ,,219.00982666015625,72.46786168437106,"(219415.2656, 633080.25)"
487,36678133,920,המון,3.0, , ,2,1,0,2200,0, ,,309.1205139160156,79.77698961677365,"(219446.5469, 633079.9375)"
488,36678134,920,המון,6.0, , ,3,1,11,2200,0, ,,269.3432312011719,86.99953177237406,"(219463.8594, 633050.58)"
489,36678135,919,המאסף,11.0, , ,4,1,6,2200,0, ,,396.2760162353516,122.32682350717192,"(219237.28, 633005.417199999)"
490,36678136,937,ירמיהו,5.0, , ,1,1,0,2200,0, ,,286.60633850097656,82.75134006213604,"(220093.98, 633186.59)"
491,36678137,305,מלכי ישראל,48.0, , ,2,1,2,2200,0, ,,321.6080474853516,76.80797001121677,"(219853.6745, 633140.957)"
492,36678138,305,מלכי ישראל,46.0, , ,2,1,0,2200,0, ,,148.29100036621094,49.0887675394785,"(219907.893, 633137.642999999)"
493,36678139,305,מלכי ישראל,38.0, , ,2,1,0,2200,0, ,,131.4246826171875,46.62295923195928,"(220078.143, 633107.843699999)"
494,36678140,921,תורה מציון,13.0, , ,2,1,0,2200,0, ,,225.5707092285156,61.37311063752661,"(220078.143, 633107.843699999)"
495,36678141,385,גשר החיים,4.0, , ,4,2,18,2200,0, ,,411.4606018066406,125.64142894320368,"(219833.125, 632753.7031)"
496,36678142,732,תשב''ץ,21.0, , ,2,10,10,2200,0, ,,914.0991821289062,164.14416603761669,"(219853.25, 632767.8906)"
497,36678143,336,הטורים,22.0, , ,2,1,5,2200,0, ,,230.75637817382807,77.1896966309884,"(219853.25, 632767.8906)"
498,36678144,336,הטורים,27.0, , ,3,1,10,2200,338,החשמונאים,,291.43467712402344,76.73575969902645,"(219993.654, 632978.497)"
499,36678145,336,הטורים,28.0, , ,3,1,6,2200,0, ,,235.81878662109372,78.47616897235186,"(220022.457, 632979.34)"
500,36678146,0, ,32.0, , ,3,2,13,2200,336,הטורים,,186.0467071533203,66.44259101455907,"(220022.457, 632979.34)"
501,36678147,337,הזית,1.0, , ,3,2,12,2200,336,הטורים,,369.3871307373047,114.5938296965916,"(220024.631, 633023.0625)"
502,36678148,333,בר גיורא,26.0, , ,3,1,0,2200,0, ,,273.1186981201172,84.30077070594629,"(220039.57, 632949.810000001)"
