OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים
36678333,1627,הצפירה,4, , ,1,1,1,2200,0000, ,,167.84129333496094,55.94340101485094
36678334,1627,הצפירה,10, , ,3,1,1,2200,1647,עזריאל הילדסהימר,,186.42605590820312,62.888925965727765
36678335,1649,רות,4, , ,3,1,4,2200,0000, ,,215.1416473388672,69.55573999568514
36678336,1649,רות,8, , ,1,1,1,2200,0000, ,,176.59725952148438,62.68279750572642
36678337,1650,המגיד,9, , ,1,1,3,2200,0000, ,,141.46177673339844,53.43572271127592
36678338,1667,קליין,2, , ,4,1,8,2200,0000, ,,187.449462890625,70.52340797548945
36678339,0124,אדוניהו הכהן,48, , ,1,1,0,2200,0000, ,,221.22039794921875,63.98790177400703
36678340,0127,ישא ברכה,27, , ,3,3,7,2200,0103,ישראל אהרון פישל,,683.2153015136719,157.42548742129853
36678341,0126,עזרא,33, , ,4,1,12,2200,0000, ,,256.7958221435547,106.5644665234218
36678342,0126,עזרא,31, , ,3,1,6,2200,0000, ,,218.17657470703125,76.75209284073418
36678343,0127,ישא ברכה,20, , ,4,1,8,2200,0000, ,,270.51100158691406,92.01075865578187
36678344,0124,אדוניהו הכהן,50, , ,4,1,6,2200,0000, ,,208.48109436035156,68.37899918756474
36678345,0125,רחובות הבוכרים,23, , ,3,1,5,2200,0000, ,,190.90744018554688,60.340658697071696
36678346,0125,רחובות הבוכרים,25, , ,3,1,5,2200,0000, ,,165.4906005859375,59.74308492674011
36678347,0125,רחובות הבוכרים,27, , ,4,1,7,2200,0000, ,,210.59457397460938,68.31242386111522
36678348,0130,דוד חזן,9, , ,3,2,7,2200,0000, ,,187.18968200683594,74.63841826058676
36678349,0125,רחובות הבוכרים,31, , ,4,1,7,2200,0000, ,,267.9619140625,69.53156029427097
36678350,0125,רחובות הבוכרים,33, , ,2,1,0,2200,0000, ,,279.69471740722656,68.89826323099344
36678351,0126,עזרא,29, , ,3,1,3,2200,0000, ,,197.7445831298828,67.58694167408729
36678352,0126,עזרא,27, , ,3,1,5,2200,0000, ,,233.57174682617188,68.98031294108324
36678353,0304,מלאכי,29, , ,3,1,4,2200,0000, ,,192.5116729736328,70.39651162021165
36678354,0303,צפניה,22, , ,5,1,10,2200,0000, ,,247.7227020263672,78.67562752997922
36678355,0303,צפניה,24, , ,2,1,2,2200,0000, ,,203.083740234375,74.62003685061956
36678356,0303,צפניה,26, , ,4,2,13,2200,0000, ,,500.4590759277344,173.16348312739106
36678357,0303,צפניה,30, , ,3,1,6,2200,0311,עמוס,,206.71600341796875,70.31380460898013
36678358,0311,עמוס,34, , ,2,2,8,2200,0000, ,,166.56698608398438,71.3597291146049
36678359,0311,עמוס,30, , ,3,1,6,2200,0310,זכריה,,202.39617919921875,64.18760314799312
36678360,0310,זכריה,7, , ,3,1,4,2200,0000, ,,147.5564727783203,52.80469181934698
36678361,0310,זכריה,5, , ,3,1,6,2200,0000, ,,200.70155334472656,69.09911285896217
36678362,0310,זכריה,3, , ,3,1,0,2200,0000, ,,186.8780059814453,67.18838928838443
36678363,0304,מלאכי,27, , ,3,1,5,2200,0310,זכריה,,156.68496704101562,57.90102573447752
36678364,0303,צפניה,29, , ,3,1,5,2200,0000, ,,179.9428253173828,58.12874290035805
36678365,0303,צפניה,27, , ,2,1,4,2200,0000, ,,134.1740264892578,50.147342219236
36678366,0303,צפניה,25, , ,4,1,7,2200,0000, ,,238.23069763183594,74.54627566840531
36678367,0126,עזרא,21, , ,4,1,5,2200,0000, ,,145.8458251953125,55.87454052596198
36678368,0304,מלאכי,40, , ,3,2,3,2200,0126,עזרא,,160.7493896484375,54.413083183858646
36678369,0303,צפניה,21, , ,3,1,5,2200,0000, ,,176.4736785888672,71.97422563888784
36678370,0303,צפניה,19, ,כרם אברהם,3,1,6,2200,0000, ,,185.0961151123047,63.17093673663169
36678371,0303,צפניה,17, , ,1,1,0,2200,0000, ,,152.66981506347656,52.302504648991686
36678372,0303,צפניה,15, , ,3,1,4,2200,0000, ,,215.27125549316406,77.8834567522716
36678373,0303,צפניה,16, , ,3,1,7,2200,0306,יונה,,233.3726348876953,86.6590332765498
36678374,0303,צפניה,14, , ,3,1,4,2200,0000, ,,170.23619079589844,62.32206763064007
36678375,0306,יונה,24, , ,3,1,0,2200,0302,הושע,,194.76153564453125,61.02642773074239
36678376,0302,הושע,28, , ,2,2,4,2200,0000, ,,240.11927795410156,92.95397800245875
36678377,0306,יונה,31, , ,3,1,6,2200,0000, ,,296.5509033203125,85.08494389195663
36678378,0306,יונה,33, , ,3,2,6,2200,0000, ,,256.85821533203125,80.61394985861537
36678379,0303,צפניה,20, , ,3,2,7,2200,0000, ,,197.96665954589844,69.7443355717114
36678380,0304,מלאכי,34, , ,3,1,6,2200,0000, ,,215.85232543945312,69.47022824610808
36678381,0304,מלאכי,32, , ,3,2,9,2200,0000, ,,245.05690002441406,90.96045732291739
36678382,0304,מלאכי,28, , ,3,1,2,2200,0000, ,,138.88478088378906,52.95626539730365
36678383,0304,מלאכי,26, , ,5,2,6,2200,0000, ,,221.05770874023438,74.3504491222315
36678384,0304,מלאכי,22, , ,3,1,4,2200,0000, ,,172.27000427246094,58.79055734253825
36678385,0304,מלאכי,20, , ,2,1,1,2200,0000, ,,154.64544677734375,62.00430034831496
36678386,0306,יונה,29, , ,3,2,11,2200,0000, ,,259.6045837402344,93.60414800122433
36678387,0306,יונה,25, , ,3,1,5,2200,0000, ,,197.13314819335938,64.55374513288623
36678388,0306,יונה,21, , ,4,1,5,2200,0000, ,,202.0065460205078,77.92082697511097
36678389,0306,יונה,18, , ,3,5,13,2200,0000, ,,1445.1533508300781,297.99913380160643
36678390,0188,הרקח,1, , ,2,1,3,2200,0180,שלמה זלמן בהר''ן,,90.2213134765625,45.46183003740688
36678391,0173,הרב שמואל סלנט,9, , ,2,1,2,2200,0000, ,,139.9923095703125,59.04963503534848
36678392,0173,הרב שמואל סלנט,7, , ,2,1,2,2200,0000, ,,161.84762573242188,61.15731172968195
36678393,0173,הרב שמואל סלנט,5, , ,3,1,7,2200,0000, ,,154.3382568359375,62.90702849559851
36678394,0173,הרב שמואל סלנט,3, , ,3,1,6,2200,0000, ,,168.7043914794922,64.38253340137989
36678395,0180,שלמה זלמן בהר''ן,2, , ,4,1,6,2200,0173,הרב שמואל סלנט,,233.7357635498047,73.5004316370596
